time: 2023-05-04 10:07:31, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 99.62, new_balance: 99.615, result: success
time: 2023-05-04 10:07:38, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 99.615, new_balance: 99.61, result: success
time: 2023-05-04 10:07:39, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 99.61, new_balance: 99.605, result: success
time: 2023-05-04 10:07:39, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 99.605, new_balance: 99.6, result: success
time: 2023-05-04 10:07:39, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 99.6, new_balance: 99.595, result: success
time: 2023-05-04 10:07:40, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 99.595, new_balance: 99.59, result: success
time: 2023-05-04 10:08:15, user: Test_user, service_id: 3, numbers_count: 59392, cost: 296.96, old_balance: 99.59, new_balance: 99.59, result: fail
time: 2023-05-04 10:08:30, user: Test_user, service_id: 3, numbers_count: 29, cost: 0.145, old_balance: 99.59, new_balance: 99.445, result: success
time: 2023-05-04 10:09:35, user: Test_user, service_id: 4, numbers_count: 5, cost: 0.005, old_balance: 99.445, new_balance: 99.44, result: success
time: 2023-05-04 10:28:49, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 1000, new_balance: 999.995, result: success
time: 2023-05-04 10:28:54, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 999.995, new_balance: 999.99, result: success
time: 2023-05-04 10:29:00, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 999.99, new_balance: 999.985, result: success
time: 2023-05-05 07:56:17, user: Test_user, service_id: 3, numbers_count: 1, cost: 0.005, old_balance: 100, new_balance: 99.995, result: success
time: 2023-05-05 16:33:47, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 99.995, new_balance: 99.99, result: success
time: 2023-05-05 16:34:12, user: Test_user, service_id: 3, numbers_count: 1, cost: 0.005, old_balance: 99.99, new_balance: 99.985, result: success
time: 2023-05-09 09:04:40, user: Test_user, service_id: 3, numbers_count: 3, cost: 0.015, old_balance: 99.985, new_balance: 99.97, result: success
time: 2023-05-12 11:43:08, user: Test_user, service_id: 3, numbers_count: 5, cost: 0.025, old_balance: 99.97, new_balance: 99.945, result: success
time: 2023-05-15 11:25:52, user: Test_user, service_id: 3, numbers_count: 6, cost: 0.03, old_balance: 99.945, new_balance: 99.915, result: success
time: 2023-05-15 15:32:32, user: Test_user, service_id: 3, numbers_count: 3, cost: 0.015, old_balance: 99.915, new_balance: 99.9, result: success
time: 2023-05-16 10:55:14, user: Test_user, service_id: 3, numbers_count: 406, cost: 2.03, old_balance: 99.9, new_balance: 97.87, result: success
time: 2023-05-16 16:23:09, user: Test_user, service_id: 3, numbers_count: 1, cost: 0.005, old_balance: 97.87, new_balance: 97.865, result: success
